time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Special,4,873,0,0,33,3.78007,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,107,43138,56,0.12982,3034,7.03324,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,State-funded primary,64,23094,1,0.00433,107,0.46332,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Special,4,429,0,0,168,39.16084,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,70,27641,18,0.06512,1518,5.49184,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,State-funded primary,124,31125,0,0,228,0.73253,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,State-funded primary,129,29002,1,0.00345,276,0.95166,,
Academic year,202122,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,State-funded primary,268,38620,1,0.00259,305,0.78975,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,State-funded secondary,20,18753,42,0.22396,9019,48.09364,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,State-funded primary,143,38355,7,0.01825,849,2.21353,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,136,54115,52,0.09609,7117,13.15162,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Special,6,751,0,0,162,21.57124,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,State-funded secondary,44,37091,41,0.11054,4754,12.81713,,
Academic year,202122,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,61,25504,11,0.04313,2012,7.88896,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,State-funded primary,354,61836,17,0.02749,974,1.57513,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,281,100616,24,0.02385,5329,5.29637,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,State-funded primary,82,34937,2,0.00572,278,0.79572,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,22,5921,9,0.152,231,3.90137,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,State-funded secondary,19,18759,75,0.39981,7118,37.94445,,
Academic year,202122,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,State-funded secondary,21,23697,56,0.23632,3487,14.71494,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,State-funded primary,297,112189,56,0.04992,1866,1.66326,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Special,7,920,0,0,28,3.04348,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,State-funded secondary,20,24531,47,0.19159,2461,10.0322,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,State-funded primary,85,29136,9,0.03089,312,1.07084,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,State-funded secondary,21,20495,67,0.32691,2314,11.29056,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,100,48135,79,0.16412,2698,5.60507,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",State-funded primary,78,13591,2,0.01472,212,1.55986,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,98,23545,25,0.10618,1289,5.47462,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,238,81919,110,0.13428,4689,5.72395,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Special,2,454,2,0.44053,107,23.56828,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,State-funded primary,126,22806,3,0.01315,314,1.37683,,
Academic year,202122,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,State-funded secondary,20,16370,49,0.29933,2782,16.9945,,
